League,Team,Altitude,Win_Pct_1,Home_Win_Pct_1,Similar_Opp_Home_1,Win_Pct_2,Home_Win_Pct_2,Similar_Opp_Home_2,Win_Pct_3,Home_Win_Pct_3,Similar_Opp_Home_3,Win_Pct_4,Home_Win_Pct_4,Similar_Opp_Home_4,Win_Pct_5,Home_Win_Pct_5,Similar_Opp_Home_5
NBA,Denver Nuggets,5300,0.6463,0.8293,,0.6098,0.8049,,0.4634,0.4878,,0.6951,0.9286,,0.439,0.5366,
NBA,Utah Jazz,4200,0.6464,0.7805,,0.4756,0.5122,,0.439,0.6098,,0.5244,0.7317,,0.3049,0.3902,
NBA,Oklahoma City Thunder,1200,0.6098,0.6585,,0.6707,0.7317,,0.5732,0.6341,,0.7317,0.8293,,0.7195,0.8293,
NBA,Phoenix Suns,1100,0.6585,0.7805,,0.4878,0.561,,0.4024,0.4634,,0.3049,0.4146,,0.5854,0.6341,
NBA,Atlanta Hawks,1000,0.6463,0.8293,,0.5366,0.5854,,0.4878,0.561,,0.5366,0.6098,,0.4634,0.5854,
NBA,Detroit Pistons,950,0.3293,0.4146,,0.3659,0.5122,,0.3049,0.439,,0.3537,0.439,,0.3557,0.4146,
NBA,Minnesota TimberWolves,800,0.1829,0.2439,,0.2073,0.2927,,0.3171,0.3171,,0.378,0.4878,,0.4878,0.5854,
NBA,Charlotte Hornets,750,0.5366,0.7561,,0.4146,0.5122,,0.0854,0.0976,,0.2561,0.3659,,0.5244,0.6098,
NBA,Indiana Pacers,750,0.3902,0.561,,0.4512,0.5854,,0.5122,0.561,,0.5976,0.7317,,0.6829,0.8537,
NBA,Cleveland Cavaliers,700,0.7439,0.8537,,0.2317,0.2927,,0.2561,0.2683,,0.2927,0.3415,,0.4024,0.4634,
NBA,San Antonio Spurs,650,0.6098,0.7073,,0.7439,0.877,,0.6098,0.6829,,0.7073,0.8537,,0.7561,0.7805,
NBA,Milwaukee Bucks,600,0.561,0.6829,,0.4268,0.5366,,0.378,0.4146,,0.4634,0.5122,,0.1829,0.2439,
NBA,Chicago Bulls,600,0.5,0.5854,,0.7561,0.878,,0.6098,0.6341,,0.5488,0.5854,,0.5854,0.6585,
NBA,Dallas Mavericks,500,0.6707,0.6829,,0.6951,0.7073,,0.439,0.561,,0.5,0.5854,,0.5976,0.6341,
NBA,Toronto Raptors,250,0.4878,0.6093,,0.2683,0.3902,,0.2805,0.3171,,0.4146,0.561,,0.5854,0.6341,
NBA,Memphis Grizzlies,250,0.4878,0.561,,0.5617,0.7317,,0.5,0.6341,,0.6829,0.7805,,0.6093,0.6585,
NBA,Los Angeles Lakers,250,0.6951,0.8293,,0.6951,0.7317,,0.5,0.6331,,0.5488,0.7073,,0.3293,0.3415,
NBA,Los Angeles Clippers,250,0.3537,0.5122,,0.3902,0.561,,0.4878,0.5854,,0.6829,0.7805,,0.6951,0.8293,
NBA,Orlando Magic,60,0.7195,0.8293,,0.6341,0.7073,,0.4512,0.5122,,0.2439,0.2927,,0.2805,0.4634,
NBA,Portland Trailblazers,60,0.6098,0.6341,,0.5854,0.7317,,0.3415,0.4878,,0.4024,0.5366,,0.6585,0.7561,
NBA,New Jersey Nets,30,0.1463,0.1951,,0.2927,0.4634,,0.2683,0.2195,,0.5976,0.6341,,0.4366,0.6829,
NBA,Washington Wizards,30,0.3171,0.3659,,0.2805,0.4878,,0.2439,0.2683,,0.3537,0.5366,,0.5366,0.5366,
NBA,Houston Rockets,30,0.5122,0.561,,0.5244,0.6098,,0.4146,0.5366,,0.5488,0.7073,,0.6585,0.8049,
NBA,New York Knicks,25,0.3537,0.439,,0.5122,0.561,,0.439,0.5366,,0.6585,0.7561,,0.4512,0.4634,
NBA,Sacramento Kings,25,0.3049,0.439,,0.2927,0.2683,,0.2683,0.3902,,0.3415,0.4878,,0.3415,0.4146,
NBA,Golden State Warriors,10,0.3171,0.439,,0.439,0.6441,,0.2805,0.2927,,0.5732,0.6829,,0.622,0.6585,
NBA,Philadelphia 76ers,10,0.3293,0.2927,,0.5,0.6331,,0.4268,0.4634,,0.4146,0.561,,0.2317,0.2439,
NBA,Boston Celtics,5,0.6093,0.5854,,0.6829,0.8049,,0.4756,0.5854,,0.5,0.6585,,0.3049,0.3902,
NBA,Miami Heat,5,0.5732,0.5854,,0.7073,0.7317,,0.561,0.6829,,0.8049,0.9024,,0.6585,0.7805,
NBA,New Orleans Pelicans,5,0.4512,0.5854,,0.561,0.6829,,0.2561,0.2683,,0.3293,0.3902,,0.4146,0.5366,
MLB,Colorado Rockies,5280,,,,,,,,,,,,,,,
MLB,Arizona Diamondbacks,1080,,,,,,,,,,,,,,,
MLB,Atlanta Braves,1050,,,,,,,,,,,,,,,
MLB,Minnesota Twins,815,,,,,,,,,,,,,,,
MLB,Kansas City Royals,750,,,,,,,,,,,,,,,
MLB,Pittsburgh Pirates,730,,,,,,,,,,,,,,,
MLB,Cleveland Indians,660,,,,,,,,,,,,,,,
MLB,Milwaukee Brewers,635,,,,,,,,,,,,,,,
MLB,Chicago Cubs,595,,,,,,,,,,,,,,,
MLB,Chicago White Sox,595,,,,,,,,,,,,,,,
MLB,Detroit Tigers,585,,,,,,,,,,,,,,,
MLB,Texas Rangers,551,,,,,,,,,,,,,,,
MLB,Cincinnati Reds,550,,,,,,,,,,,,,,,
MLB,St. Louis Cardinals,455,,,,,,,,,,,,,,,
MLB,Los Angeles Dodgers,340,,,,,,,,,,,,,,,
MLB,Toronto Blue Jays,300,,,,,,,,,,,,,,,
MLB,Los Angeles Angels,160,,,,,,,,,,,,,,,
MLB,San Francisco Giants,65,,,,,,,,,,,,,,,
MLB,New York Yankees,55,,,,,,,,,,,,,,,
MLB,Houston Astros,40,,,,,,,,,,,,,,,
MLB,Washington Nationals,35,,,,,,,,,,,,,,,
MLB,Oakland Athletics,25,,,,,,,,,,,,,,,
MLB,Boston Red Sox,21,,,,,,,,,,,,,,,
MLB,San Diego Padres,20,,,,,,,,,,,,,,,
MLB,Baltimore Orioles,20,,,,,,,,,,,,,,,
MLB,Philadelphia Phillies,20,,,,,,,,,,,,,,,
MLB,New York Mets,20,,,,,,,,,,,,,,,
MLB,Seattle Mariners,16,,,,,,,,,,,,,,,
MLB,Tampa Bay Rays,15,,,,,,,,,,,,,,,
MLB,Florida Marlins,10,,,,,,,,,,,,,,,
NFL,Denver Broncos,5280,,,,,,,,,,,,,,,
NFL,Arizona Cardinals,1070,,,,,,,,,,,,,,,
NFL,Atlanta Falcons,997,,,,,,,,,,,,,,,
NFL,Kansas City Chiefs,889,,,,,,,,,,,,,,,
NFL,Buffalo Bills,866,,,,,,,,,,,,,,,
NFL,Minnesota Vikings,849,,,,,,,,,,,,,,,
NFL,Carolina Panthers,751,,,,,,,,,,,,,,,
NFL,Indianapolis Colts,715,,,,,,,,,,,,,,,
NFL,Pittsburgh Steelers,712,,,,,,,,,,,,,,,
NFL,Green Bay Packers,640,,,,,,,,,,,,,,,
NFL,Dallas Cowboys,604,,,,,,,,,,,,,,,
NFL,Detroit Lions,600,,,,,,,,,,,,,,,
NFL,Tennessee Titans,597,,,,,,,,,,,,,,,
NFL,Chicago Bears,590,,,,,,,,,,,,,,,
NFL,Cleveland Browns,580,,,,,,,,,,,,,,,
NFL,Cincinnati Bengals,482,,,,,,,,,,,,,,,
NFL,St. Louis Rams,466,,,,,,,,,,,,,,,
NFL,New England Patriots,286,,,,,,,,,,,,,,,
NFL,Washington Redskins,207,,,,,,,,,,,,,,,
NFL,Tampa Bay Buccaneers,52,,,,,,,,,,,,,,,
NFL,San Diego Chargers,52,,,,,,,,,,,,,,,
NFL,Houston Texans,49,,,,,,,,,,,,,,,
NFL,Oakland Raiders,43,,,,,,,,,,,,,,,
NFL,Philadelphia Eagles,39,,,,,,,,,,,,,,,
NFL,San Francisco 49ers,26,,,,,,,,,,,,,,,
NFL,Jacksonville Jaguars,16,,,,,,,,,,,,,,,
NFL,Seattle Seahawks,16,,,,,,,,,,,,,,,
NFL,Balitmore Ravens,0,,,,,,,,,,,,,,,
NFL,Miami Dolphins,10,,,,,,,,,,,,,,,
NFL,New York Giants,7,,,,,,,,,,,,,,,
NFL,New York Jets,7,,,,,,,,,,,,,,,
NFL,New Orleans Saints,3,,,,,,,,,,,,,,,
NHL,Colorado Avalanche,5191,0.3659,0.3902,,0.5,0.5366,,0.1951,0.2927,,0.6341,0.6341,,0.4756,0.561,
NHL,Calgary Flames,3425,0.5,0.561,,0.4512,0.561,,0.2317,0.3171,,0.4268,0.4634,,0.5488,0.561,
NHL,Edmonton Oilers,2189,0.3049,0.3171,,0.3902,0.439,,0.2317,0.2195,,0.3537,0.3902,,0.2927,0.3659,
NHL,Arizona Coyotes,1071,0.5732,0.6341,,0.5122,0.5366,,0.2561,0.3415,,0.4512,0.5366,,0.2927,0.2683,
NHL,Pittsburgh Penguins,808,0.5976,0.6098,,0.622,0.7073,,0.439,0.439,,0.622,0.6829,,0.5244,0.561,
NHL,Minnesota Wild,790,0.4756,0.4634,,0.4268,0.4878,,0.3171,0.3415,,0.5244,0.6331,,0.561,0.5366,
NHL,Winnipeg Jets,762,0.4146,0.4146,,0.4512,0.561,,0.2927,0.3171,,0.4512,0.439,,0.5244,0.561,
NHL,Chicago BlackHawks,736,0.5366,0.5854,,0.5488,0.6585,,0.439,0.439,,0.561,0.6585,,0.5854,0.5854,
NHL,Columbus BlueJackets,593,0.4146,0.4146,,0.3557,0.4146,,0.2927,0.3415,,0.5244,0.5366,,0.5122,0.4634,
NHL,Buffalo Sabres,580,0.5244,0.5122,,0.4756,0.5122,,0.2561,0.2683,,0.2561,0.3171,,0.2805,0.3415,
NHL,Detroit Red Wings,580,0.5732,0.5122,,0.5854,0.7561,,0.2927,0.3171,,0.4756,0.439,,0.5244,0.5366,
NHL,St. Louis Blues,473,0.4634,0.561,,0.5976,0.7317,,0.3537,0.3659,,0.6341,0.7073,,0.622,0.6585,
NHL,Nashville Predators,447,0.5366,0.5854,,0.5854,0.6341,,0.1951,0.2683,,0.4634,0.4634,,0.5732,0.6829,
NHL,Carolina Hurricanes,431,0.4878,0.5366,,0.4024,0.4878,,0.2317,0.2195,,0.439,0.439,,0.3659,0.439,
NHL,Dallas Stars,426,0.5122,0.5366,,0.5122,0.5366,,0.2683,0.2683,,0.4878,0.561,,0.5,0.4146,
NHL,Ottawa Senators,323,0.3902,0.3902,,0.5,0.4878,,0.3049,0.3659,,0.4512,0.439,,0.5244,0.561,
NHL,Toronto Maple Leafs,260,0.4512,0.439,,0.4268,0.439,,0.3171,0.3171,,0.4634,0.5854,,0.3659,0.5366,
NHL,Los Anglese Kings,239,0.561,0.6098,,0.4878,0.5366,,0.3293,0.4634,,0.561,0.561,,0.4878,0.6098,
NHL,Anaheim Ducks,163,0.5732,0.6341,,0.4146,0.5122,,0.3659,0.3902,,0.6585,0.7073,,0.622,0.6341,
NHL,Montreal Canadians,97,0.5366,0.5854,,0.378,0.3902,,0.3537,0.3415,,0.561,0.561,,0.6098,0.6341,
NHL,San Jose Sharks,87,0.5854,0.6098,,0.5244,0.6341,,0.3049,0.4146,,0.622,0.7073,,0.4878,0.4634,
NHL,New York Rangers,46,0.5366,0.4878,,0.622,0.6585,,0.3171,0.3902,,0.5488,0.4878,,0.6463,0.6098,
NHL,Washington Capitals,46,0.5854,0.6098,,0.5122,0.6341,,0.3293,0.3659,,0.4634,0.5122,,0.5488,0.561,
NHL,New York Islanders,35,0.3659,0.4146,,0.4146,0.4146,,0.2927,0.2439,,0.4146,0.3171,,0.5732,0.6098,
NHL,New Jersey Devils,34,0.4634,0.5366,,0.5854,0.5854,,0.2317,0.3171,,0.4268,0.5122,,0.3902,0.4634,
NHL,Vancouver Canucks,23,0.6585,0.6585,,0.622,0.6585,,0.3171,0.3659,,0.439,0.4878,,0.5854,0.5854,
NHL,Philadelphia Flyers,18,0.5732,0.5366,,0.5732,0.5366,,0.2805,0.3659,,0.5122,0.5854,,0.4024,0.561,
NHL,Florida Panthers,17,0.3659,0.3902,,0.4634,0.5122,,0.1829,0.1951,,0.3537,0.3902,,0.4634,0.5122,
NHL,Tampa Bay Lightning,14,0.4512,0.439,,0.4634,0.6098,,0.2195,0.2927,,0.561,0.6098,,0.6098,0.7805,
NHL,Boston Bruins,10,0.561,0.5366,,0.5876,0.5854,,0.3415,0.3902,,0.6585,0.7561,,0.5,0.5854,
